mobile_name,price,rating,reviews,features,link
OPPO,₹14290,4.3 out of 5 stars,NA,NA,https://www.amazon.in/OPPO-K13x-5G-6000mAh-SUPERVOOC/dp/B0FTFCD25N/ref=sr_1_1?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-1
OPPO,₹29999,4.4 out of 5 stars,NA,NA,https://www.amazon.in/Oppo-Space-Grey-256GB-Storage/dp/B0FP8QBH9M/ref=sr_1_2?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-2
OPPO,₹17900,3.7 out of 5 stars,NA,NA,https://www.amazon.in/Oppo-Moonlight-Purple-128Gb-Storage/dp/B0D83H2DF6/ref=sr_1_3?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-3
OPPO,₹34999,4.1 out of 5 stars,NA,NA,https://www.amazon.in/Reno15c-Twilight-Storage-Additional-Exchange/dp/B0G8Y3GWQR/ref=sr_1_4?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-4
OPPO,₹34999,4.1 out of 5 stars,NA,NA,https://www.amazon.in/Reno15c-Afterglow-Storage-Additional-Exchange/dp/B0G8XX9J7C/ref=sr_1_5?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-5
OPPO,₹28999,4.2 out of 5 stars,NA,NA,https://www.amazon.in/Oppo-Midnight-Blue-256GB-Storage/dp/B0FP8T64LJ/ref=sr_1_6?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-6
OPPO,₹19999,NA,NA,NA,https://www.amazon.in/Sapphire-Storage-Additional-Exchange-Offers/dp/B0GGZWGVBL/ref=sr_1_7?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-7
OPPO,₹14750,4.5 out of 5 stars,NA,NA,https://www.amazon.in/OPPO-5G-6000mAh-SUPERVOOC-Midnight/dp/B0FG7G4TCN/ref=sr_1_8?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-8
OPPO,₹19999,NA,NA,NA,https://www.amazon.in/Sakura-Storage-Additional-Exchange-Offers/dp/B0GH17LQPM/ref=sr_1_9?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-9
OPPO,₹13499,4.4 out of 5 stars,NA,NA,https://www.amazon.in/Olive-Storage-Additional-Exchange-Offers/dp/B0G3XDF5G7/ref=sr_1_10?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-10
